provincia,mes,porcentaje,casos,id
Alicante,0,0.518,1961,03
Albacete,0,0.527,422,02
Almería,0,0.529,1239,04
Ávila,0,0.58,255,05
Barcelona,0,0.497,27857,08
Badajoz,0,0.601,1138,06
Burgos,0,0.58,936,09
A Coruña,0,0.621,1397,15
Cádiz,0,0.529,4308,11
Cáceres,0,0.601,648,10
Córdoba,0,0.529,4398,14
Ciudad Real,0,0.527,852,13
Castellón,0,0.518,766,12
Cuenca,0,0.527,221,16
Las Palmas,0,0.473,1451,35
Girona,0,0.497,2258,17
Granada,0,0.529,4740,18
Guadalajara,0,0.527,558,19
Huelva,0,0.529,2556,21
Huesca,0,0.537,345,22
Jaén,0,0.529,2718,23
Lleida,0,0.497,929,25
León,0,0.58,1378,24
La Rioja,0,0.598,1090,26
Lugo,0,0.621,406,27
Madrid,0,0.532,14846,28
Málaga,0,0.529,7493,29
Murcia,0,0.505,1896,30
Navarra,0,0.549,1522,31
Asturias,0,0.569,1803,33
Ourense,0,0.621,373,32
Palencia,0,0.58,295,34
Islas Baleares,0,0.449,2216,07
Pontevedra,0,0.621,1105,36
Cantabria,0,0.514,1696,39
Salamanca,0,0.58,432,37
Sevilla,0,0.529,8511,41
Segovia,0,0.58,192,40
Soria,0,0.58,100,42
Gipuzkoa,0,0.571,1938,20
Tarragona,0,0.497,2543,43
Teruel,0,0.537,313,44
Santa Cruz de Tenerife,0,0.449,3453,38
Toledo,0,0.527,1652,45
Valencia,0,0.518,7520,46
Valladolid,0,0.58,1297,47
Álava,0,0.571,811,01
Zaragoza,0,0.537,2132,50
Zamora,0,0.58,408,49
Ceuta,0,0,0,51
Melilla,0,0,0,52
Bizkaia,0,0,0,48
Alicante,1,0.867,18169,03
Albacete,1,0.845,4129,02
Almería,1,0.881,6756,04
Ávila,1,0.91,1577,05
Barcelona,1,0.856,149046,08
Badajoz,1,0.946,7770,06
Burgos,1,0.91,10515,09
A Coruña,1,0.933,11038,15
Cádiz,1,0.881,15603,11
Cáceres,1,0.946,3901,10
Córdoba,1,0.881,9220,14
Ciudad Real,1,0.845,3648,13
Castellón,1,0.867,6643,12
Cuenca,1,0.845,1591,16
Las Palmas,1,0.821,8293,35
Girona,1,0.856,15931,17
Granada,1,0.881,8912,18
Guadalajara,1,0.845,2404,19
Huelva,1,0.881,5527,21
Huesca,1,0.877,4390,22
Jaén,1,0.881,5801,23
